borough,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_sqft,gross_sqft,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,borough_name,source_file,tax_class_as_of_final_roll_17/18,building_class_as_of_final_roll_17/18,tax_class_as_of_final_roll_18/19,building_class_as_of_final_roll_18/19,borough_str,pop_density,avg_income,gdp_local,dist_center,amenity_score,is_residential,price_per_sqft_real,sale_date_parsed,sale_month,borough_clean,sale_year,building_age
1.0,MIDTOWN WEST             ,21  OFFICE BUILDINGS                        ,4,1004.0,20.0, ,O4,787 7 AVENUE                             ,            ,10019.0,0.0,48.0,48.0,80333.0,1638637.0,1985.0,4.0,O4,1760000000.0,2009-06-17,Unknown,2009_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,10.0,,1074.063383165399,,,1,,
1.0,MIDTOWN WEST             ,21  OFFICE BUILDINGS                        ,4,1040.0,29.0, ,O9,825 8 AVENUE                             ,            ,10019.0,0.0,1.0,1.0,58240.0,1596521.0,1987.0,4.0,O9,1739370834.0,2007-02-09,Unknown,sales_2007_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,1089.4756999751337,2007-09-02,9.0,1,2007.0,20.0
1.0,MIDTOWN CBD              ,21  OFFICE BUILDINGS                        ,4,1280.0,9010.0, ,O4,200 PARK AVENUE                          ,            ,10017.0,0.0,3.0,3.0,150701.0,2768775.0,1963.0,4.0,O4,1720000000.0,2005-05-04,Unknown,sales_manhattan_05.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.45,,621.2133524753726,2005-04-05,4.0,1,2005.0,42.0
1.0,TRIBECA                  ,21  OFFICE BUILDINGS                        ,4,186.0,1.0, ,O4,107 NORTH MOORE STREET                   ,            ,10013.0,0.0,1.0,1.0,82323.0,1594289.0,1989.0,4.0,O4,1575000000.0,2007-12-18,Unknown,sales_2007_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,987.901189809376,,,1,,
1.0,MIDTOWN WEST             ,21  OFFICE BUILDINGS                        ,4,1000.0,29.0, ,O4,1211 AVENUE OF THE AMERIC                ,            ,10036.0,0.0,102.0,102.0,84852.0,1984228.0,1973.0,4.0,O4,1520000000.0,2006-08-24,Unknown,sales_manhattan_06.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,10.0,,766.0409993206426,,,1,,
1.0,MIDTOWN CBD              ,21  OFFICE BUILDINGS                        ,4,1291.0,10.0, ,O4,550 MADISON AVENUE                       ,            ,10022.0,0.0,8.0,8.0,36803.0,827686.0,1983.0,4.0,O4,1400000000.0,2016-05-26,Unknown,2016_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,6.2,,1691.4627044555543,,,1,,
1.0,MIDTOWN CBD              ,21  OFFICE BUILDINGS                        ,4,1294.0,1.0, ,O4,761 5 AVENUE                             ,            ,10022.0,0.0,1.0,1.0,84350.0,1824820.0,1968.0,4.0,O4,1400000000.0,2003-09-25,Unknown,sales_manhattan_03.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,767.198956609419,,,1,,
1.0,HARLEM-UPPER             ,37  RELIGIOUS FACILITIES                    ,4,2073.0,8.0, ,M1,553 WEST 141 STREET                      ,            ,10031.0,0.0,1.0,1.0,4996.0,5232.0,1926.0,4.0,M1,1350000000.0,2005-08-11,Unknown,sales_manhattan_05.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,258027.52293577985,2005-11-08,11.0,1,2005.0,79.0
1.0,KIPS BAY                 ,08  RENTALS - ELEVATOR APARTMENTS           ,2,978.0,1.0, ,D6,2 PETER COOPER ROAD                      ,            ,10009.0,2491.0,7.0,2498.0,828650.0,3122165.0,1947.0,2.0,D6,1347433250.0,2006-11-17,Unknown,sales_manhattan_06.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,10.0,,431.5701604495599,,,1,,
1.0,KIPS BAY                 ,08  RENTALS - ELEVATOR APARTMENTS           ,2,978.0,1.0, ,D6,342 1 AVENUE                             ,            ,10009.0,2491.0,7.0,2498.0,828650.0,3122165.0,1947.0,2.0,D6,1345485019.0,2015-12-18,Unknown,2015_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,10.0,,430.9461604367482,,,1,,
1.0,MIDTOWN WEST             ,43  CONDO OFFICE BUILDINGS                  ,4,1049.0,1004.0, ,RB,10 COLUMBUS CIRCLE                       ,TIMEW       ,10019.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,RB,1310000000.0,2014-01-16,Unknown,2014_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,,,,1,,
1.0,MIDTOWN WEST             ,28  COMMERCIAL CONDOS                       ,4,1265.0,1001.0, ,R5,30 ROCKEFELLER PLAZA                     ,TSB/1       ,10020.0,0.0,1.0,1.0,0.0,0.0,1937.0,4.0,R5,1307965050.0,2013-03-19,Unknown,2013_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,,,,1,,
