Feature,Importance
neighborhood,0.1671203971060377
block,0.10042587108159821
borough_name,0.07883971685983791
building_class_present,0.06670098538134134
tax_class_present,0.06519655461085555
gross_sqft,0.06212622328410523
zip_code,0.06003252969872799
year_built,0.04820922426579014
building_category,0.04292997146358922
lot,0.04166906924936126
building_age,0.040657933958083446
total_units_calculated,0.034767546349400685
land_sqft,0.024592456168087185
sale_month,0.021845458205619058
building_class_category,0.021065424503440386
gross_per_unit,0.02072503395543206
building_type,0.013946627783601107
pop_density,0.009589621415105413
amenity_score,0.009308728829273949
building_class_sale,0.009272011755685088
avg_income,0.008852576049885156
tax_class_sale,0.007421385027056657
dist_center,0.006917064083794427
building_land_ratio,0.0062864855698826294
residential_units,0.005616255466055854
gdp_local,0.005397384998417823
sale_quarter,0.004148633428876653
borough,0.0037670077555985275
total_units,0.0030543250141458083
commercial_units,0.002844330021246412
borough_str,0.0028304272681585435
is_residential,0.0027993737441275733
sale_year,0.0010433656477816216
